choices,id,question,description,question_pic,mandatory,multiple,randomize
"10,11,12,21,22,23",11,Test,Toto,poll/Delorean24x30.jpeg,1,0,1
"13,14,15,18",12,Quoi Quoi ?,Aidez vous du script joint.,poll/Capture_decran_2022-04-07_a_14.32.50_1zvO9T1.png,1,1,1
"19,20",13,T'as aimé ?,C'est important,,1,0,1
,14,Question précise !,Question en lien avec le Quiz,poll/197_parquet_medium_color_texture-seamless.jpg,1,0,0
,16,Autre question précise ;),azezaeaz,poll/viceVersa.jpg,1,0,0
"24,25,26,27",17,Quel groupe de blocs permet de centrer le sprite ?,"Au lancement du programme, quel bloc de mouvement permet de centrer le sprite sur la zone d'affichage de Scratch ?",poll/Capture_decran_2022-05-17_a_09.19.03.png,1,0,1
"28,29,30,31,32",18,Quel bloc permet de réaliser l'animation ci-contre ?,Attention on souhaite animer le sprite en le déplaçant de gauche à droite !,poll/AnimationScratch.gif,1,1,1
"33,34,35,36",19,Quel groupe de bloc permet de déplacer le sprite vers la droite ?,"Pour information, le sprite est déjà orienté vers la droite ...",,1,1,1
"37,38,39,40,41,42,43",20,Que va-t-on faire dire au sprite avec le bloc de code ci-contre ?,En cliquant sur la barre d'espace que va dire l'ordinateur ?,poll/Capture_decran_2022-05-17_a_14.29.20.png,1,1,1
"44,45,46,47",21,Quel bloc permet de positionner le rond comme sur l'illustration ?,Le rond est positionné en haut à droite de l'écran ... quel bloc permet de réaliser cette action ?,poll/Capture_decran_2022-05-17_a_14.48.19.png,1,0,1
"48,49,50,51",22,Quel axe permet de déplacer un sprite de la gauche vers la droite ?,,,1,0,1
"52,53,54,55,56,57",23,Quel blocs permets de faire descendre le sprite ?,"Parmis les réponses ci-dessous, une seule permet de le faire le sprite !",,1,1,1
"58,59,60,61,62,63,64",24,Quel groupe de bloc permet de réaliser l'animation ci-contre ?,Attention ... je parle bien d'une ANIMATION ... !,poll/AnimRondDroite.gif,1,1,1
"65,66,67,68,69",25,Quel bout de code permet de faire sauter le sprite ci-contre ?,Je parle ici aussi d'une anomation ... fluide !,poll/SautSprite.gif,1,1,1
"70,71,72,73,74,75",26,Que va-t-il se passer si je clique sur le drapeau ?,Analyser bien les deux évènements ...,poll/Capture_decran_2022-05-17_a_16.11.05.png,1,0,1
"76,77,78,79,80",27,Quel bloc permet en appuyant sur la barre d'espace du clavier de faire avancer le joueur ?,"Attention, regardez bien les évènements ...",poll/Capture_decran_2022-05-17_a_16.18.05.png,1,1,1
"81,82",28,"Si j'appuie sur la barre d'espace ... le personnage va-t-il dire ""Bonjour !"" ?",,poll/Capture_decran_2022-05-17_a_16.22.24.png,1,0,0
"83,84,85",29,Si je souhaite faire avancer mon personnage de 10 pas ... quel bloc vais-je utiliser ?,,,1,1,1
"86,87",30,Le groupe de bloc ci-contre permet-il de faire avancer mon personnage de la gauche vers la droite,,poll/Capture_decran_2022-05-17_a_16.27.31.png,1,0,0
"88,89,90",31,Comment s'appelle ici ma variable ?,Regardez bien l'enchainement des blocs ...,poll/Capture_decran_2022-05-17_a_16.32.44.png,1,0,1
